scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,capacity_litres,star_rating,model_name
2026-02-03,2026-02-03 12:16:03,refrigerator,245446,LG,54990,72999,Unavailable,https://www.vijaysales.com/p/245446/lg-398-litres-3-star-double-door-refrigerator-with-smart-inverter-compressor-convertilble-door-cooling-glt422vesx-ebony-sheen-finish,https://vsprod.vijaysales.com/media/catalog/product/2/4/245446_1_2.jpg,4,24.67,Large Appliances,Double Door,398,3,"GLT422VESX, Ebony Sheen Finish"
2026-02-03,2026-02-03 12:16:03,refrigerator,244761,Samsung,27490,35990,Available,https://www.vijaysales.com/p/244761/samsung-236-litres-frost-free-double-door-inverter-refrigerator-with-base-stand-drawer-all-around-cooling-easy-slide-shelf-movable-ice-maker-moistfresh-zone-rt28c3122cr-camellia-purple,https://vsprod.vijaysales.com/media/catalog/product/2/4/244761_1_.jpg,5,23.62,Large Appliances,Double Door,236,2,"RT28C3122CR, Camellia Purple"
2026-02-03,2026-02-03 12:16:03,refrigerator,243584,Godrej,125990,125990,Unavailable,https://www.vijaysales.com/p/243584/godrej-eon-velvet-646c-rit-600-litres-3-star-side-by-side-refrigerator-inverter-compressor-frost-free-digital-display-rseonvelvet646critoprs-opera-rose,https://vsprod.vijaysales.com/media/catalog/product/2/4/243584.jpg,4,0.0,Large Appliances,Side By Side,600,3,"RSEONVELVET646CRITOPRS, Opera Rose"
2026-02-03,2026-02-03 12:16:03,refrigerator,243394,Electrolux,57990,89990,Available,https://www.vijaysales.com/p/243394/electrolux-503-litres-1-star-frost-free-double-door-inverter-refrigerator-ai-autosense-cooling360-twist-serve-ice-maker-fresherair-filter-door-alarm-etm5002c-s-silver,https://vsprod.vijaysales.com/media/catalog/product/2/4/243394_1_.jpg,4,35.56,Large Appliances,Double Door,503,1,"ETM5002C-S, Silver"
2026-02-03,2026-02-03 12:16:03,refrigerator,243393,Electrolux,50490,78990,Available,https://www.vijaysales.com/p/243393/electrolux-431-litres-1-star-frost-free-double-door-inverter-refrigerator-ai-autosense-cooling360-twist-serve-ice-maker-fresherair-filter-door-alarm-etm4302c-b-matte-black,https://vsprod.vijaysales.com/media/catalog/product/2/4/243393_1__1.jpg,4,36.08,Large Appliances,Double Door,431,1,"ETM4302C-B, Matte Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,243391,Electrolux,45990,64490,Available,https://www.vijaysales.com/p/243391/electrolux-341-litres-1-star-frost-free-double-door-inverter-refrigerator-ai-autosense-sphere-ice-tray-extrachill-compartment-fresherair-filter-door-alarm-etm3400l-s-matte-black,https://vsprod.vijaysales.com/media/catalog/product/2/4/243391_1_.jpg,4,28.69,Large Appliances,Double Door,341,1,"ETM3400L-S, Matte Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,243390,Electrolux,43990,61990,Available,https://www.vijaysales.com/p/243390/electrolux-341-litres-1-star-frost-free-double-door-inverter-refrigerator-ai-autosense-sphere-ice-tray-extrachill-compartment-fresherair-filter-door-alarm-etm3400l-s-silver,https://vsprod.vijaysales.com/media/catalog/product/2/4/243390_1_.jpg,4,29.04,Large Appliances,Double Door,341,1,"ETM3400L-S, Silver"
2026-02-03,2026-02-03 12:16:03,refrigerator,242383,Toshiba,69990,104990,Available,https://www.vijaysales.com/p/242383/toshiba-608-litres-1-star-double-door-frost-free-origin-inverter-refrigerator-automatic-ice-maker-ultrafresh-zone-pure-bio-deodorizer-touch-control-panel-gr-rt835we-pgi-22-black-glass,https://vsprod.vijaysales.com/media/catalog/product/2/4/242383_1__1.jpg,5,33.34,Large Appliances,Double Door,608,1,GR-RT835WE-PGI(22
2026-02-03,2026-02-03 12:16:03,refrigerator,242358,Liebherr,25690,40990,Available,https://www.vijaysales.com/p/242358/liebherr-245-litres-2-star-double-door-frost-free-inverter-refrigerator-bigger-vegetable-basket-central-power-cooling-heat-sensor-tchgsb-2411-grey-steel,https://vsprod.vijaysales.com/media/catalog/product/2/4/242358_1_.png,4,37.33,Large Appliances,Double Door,245,2,"TCHgsB 2411, Grey Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,240704,Electrolux,97990,135990,Available,https://www.vijaysales.com/p/240704/electrolux-564-litres-quad-door-frost-free-inverter-refrigerator-with-electronic-touch-controls-eventemp-function-bright-led-slow-melting-spherical-ice-eqe5600b-s-silver,https://vsprod.vijaysales.com/media/catalog/product/2/4/240704_1_.jpg,5,27.94,Large Appliances,Side By Side,564,5,"EQE5600B-S, Silver"
