scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,screen_size,resolution
2026-02-02,2026-02-02 10:51:36,television,240948,LG,181499,287590,Unavailable,https://www.vijaysales.com/p/P240947/240948/lg-oled-evo-164cm-65-inch-4k-ultra-hd-oled-tv-webos-25-a9-ai-processor-4k-gen8-oled-motion-dolby-vision-g-sync-nvidia-ai-chatbot-google-cast-dolby-atmos-oled65c5xla-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/240948_2_1__1.jpg,5,36.89,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240932,LG,233140,368790,Available,https://www.vijaysales.com/p/240932/lg-nanocell-ai-nano85-217cm-86-inch-4k-ultra-hd-smart-tv-webos-25-a7-ai-processor-4k-gen8-hdr10-hlg-allm-hgig-intelligent-voice-recognition-google-cast-dolby-atmos-75nano85a6a-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/240932_1_1.jpg,5,36.78,Television and Entertainment,4K Ultra HD,86,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240931,LG,96299,217590,Available,https://www.vijaysales.com/p/240931/lg-nanocell-ai-nano85-189cm-75-inch-4k-ultra-hd-smart-tv-webos-25-a7-ai-processor-4k-gen8-hdr10-hlg-allm-hgig-intelligent-voice-recognition-google-cast-dolby-atmos-75nano85a6a-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/240932_1.jpg,5,55.74,Television and Entertainment,4K Ultra HD,75,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240200,Samsung,92800,92900,Unavailable,https://www.vijaysales.com/p/240200/samsung-ue81a-series-163-cm-65-inch-crystal-4k-uhd-tizentm-smart-led-tv-4k-upscaling-filmmaker-mode-2ch-q-symphony-alexa-sound-mirroring-auto-game-mode-mobile-to-tv-ua65ue81af,https://vsprod.vijaysales.com/media/catalog/product/u/e/ue81a_series_7.jpg,4,0.11,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240199,Samsung,59800,59900,Unavailable,https://www.vijaysales.com/p/240199/samsung-ue81a-series-138-cm-55-inch-crystal-4k-uhd-tizentm-smart-led-tv-4k-upscaling-filmmaker-mode-2ch-q-symphony-alexa-sound-mirroring-auto-game-mode-mobile-to-tv-ua55ue81af,https://vsprod.vijaysales.com/media/catalog/product/u/e/ue81a_series_6.jpg,4,0.17,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240198,Samsung,54800,54900,Unavailable,https://www.vijaysales.com/p/240198/samsung-ue81a-series-125-cm-50-inch-crystal-4k-uhd-tizentm-smart-led-tv-4k-upscaling-filmmaker-mode-2ch-q-symphony-alexa-sound-mirroring-auto-game-mode-mobile-to-tv-ua50ue81af,https://vsprod.vijaysales.com/media/catalog/product/u/e/ue81a_series_1.jpg,4,0.18,Television and Entertainment,4K Ultra HD,50,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240197,Samsung,42800,42900,Unavailable,https://www.vijaysales.com/p/240197/samsung-ue81a-series-108-cm-43-inch-crystal-4k-uhd-tizentm-smart-led-tv-4k-upscaling-motion-xcelerator-google-assistant-vrr-hgig-adaptive-sound-mobile-to-tv-ua43ue81af,https://vsprod.vijaysales.com/media/catalog/product/u/e/ue81a_series.jpg,4,0.23,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240196,Samsung,29800,29900,Unavailable,https://www.vijaysales.com/p/240196/samsung-f5550-series-108-cm-43-inch-full-hd-tizentm-smart-led-tv-hyper-real-hdr-10-q-symphony-google-assistant-wireless-tv-on-ua43f5550f,https://vsprod.vijaysales.com/media/catalog/product/2/4/240196_1.jpg,4,0.33,Television and Entertainment,Full HD,43,Full HD
2026-02-02,2026-02-02 10:51:36,television,240195,Samsung,17800,17900,Unavailable,https://www.vijaysales.com/p/240195/samsung-h4550-series-80-cm-32-inch-hd-tizentm-smart-led-tv-hyper-real-hdr-10-adaptive-sound-google-assistant-mobile-to-tv-ua32h4550f,https://vsprod.vijaysales.com/media/catalog/product/2/4/240195_1.jfif.jpg,5,0.56,Television and Entertainment,HD,32,4K UHD
2026-02-02,2026-02-02 10:51:36,television,237493,LG,29900,54390,Unavailable,https://www.vijaysales.com/p/237493/lg-ut73506-108-cm-43-inch-4k-uhd-led-smart-tv-webos-24-thinq-al-hdr10-hlg-ai-sound-pro-2-0-channel-43ut73506la,https://vsprod.vijaysales.com/media/catalog/product/2/3/237493.jpg,4,45.03,Television and Entertainment,4K Ultra HD,43,4K UHD
